time,running,waiting,kv_usage,preemptions,prompt_tokens,gen_tokens
22:12:42,0.0,0.0,0.0,0.0,0.0,0.0
22:12:43,0.0,0.0,0.0,0.0,0.0,0.0
22:12:44,0.0,0.0,0.0,0.0,0.0,0.0
22:12:45,0.0,0.0,0.0,0.0,0.0,0.0
22:12:46,0.0,0.0,0.0,0.0,0.0,0.0
22:12:47,0.0,0.0,0.0,0.0,0.0,0.0
22:12:48,0.0,0.0,0.0,0.0,0.0,0.0
22:12:49,128.0,0.0,0.061,0.0,130688.0,650.0
22:12:50,128.0,0.0,0.15,0.0,130688.0,7562.0
22:12:51,128.0,0.0,0.232,0.0,130688.0,14474.0
22:12:52,128.0,0.0,0.341,0.0,130688.0,21386.0
22:12:53,128.0,0.0,0.423,0.0,130688.0,28298.0
22:12:54,128.0,0.0,0.505,0.0,130688.0,34314.0
22:12:55,128.0,0.0,0.58,0.0,130688.0,39562.0
22:12:56,128.0,0.0,0.669,0.0,130688.0,45962.0
22:12:57,128.0,0.0,0.751,0.0,130688.0,52746.0
22:12:58,128.0,0.0,0.833,0.0,130688.0,59530.0
22:12:59,128.0,0.0,0.914,0.0,130688.0,65802.0
22:13:00,125.0,3.0,0.993,0.0,130688.0,72326.0
22:13:01,116.0,12.0,0.999,12.0,130688.0,78235.0
22:13:02,107.0,21.0,0.992,35.0,130688.0,83880.0
22:13:03,100.0,28.0,0.993,77.0,130688.0,89388.0
22:13:04,94.0,34.0,0.996,131.0,130688.0,94701.0
22:13:05,94.0,34.0,0.991,143.0,130688.0,99474.0
22:13:06,84.0,44.0,0.991,159.0,130688.0,103476.0
22:13:07,85.0,43.0,1.0,185.0,130688.0,107374.0
22:13:08,80.0,48.0,1.0,223.0,130688.0,111757.0
22:13:09,85.0,43.0,1.0,284.0,130688.0,116196.0
22:13:10,71.0,57.0,1.0,320.0,130688.0,120050.0
22:13:11,69.0,59.0,1.0,330.0,130688.0,123700.0
22:13:12,79.0,49.0,1.0,386.0,130688.0,127361.0
22:13:13,94.0,34.0,0.996,488.0,130688.0,131274.0
22:13:14,90.0,38.0,1.0,550.0,130688.0,134905.0
22:13:15,82.0,46.0,1.0,624.0,130688.0,138652.0
22:13:16,89.0,39.0,1.0,702.0,130688.0,141834.0
22:13:17,58.0,70.0,1.0,745.0,130688.0,144922.0
22:13:18,94.0,34.0,0.997,833.0,130688.0,147985.0
22:13:19,58.0,70.0,1.0,881.0,130688.0,151263.0
22:13:20,49.0,79.0,0.997,884.0,130688.0,154206.0
22:13:21,49.0,79.0,0.986,889.0,130688.0,156602.0
22:13:22,49.0,79.0,0.995,893.0,130688.0,158999.0
22:13:23,45.0,83.0,1.0,906.0,130688.0,161086.0
22:13:24,49.0,79.0,1.0,914.0,130688.0,163194.0
22:13:25,43.0,85.0,1.0,921.0,130688.0,165369.0
22:13:26,49.0,79.0,0.986,938.0,130688.0,167360.0
22:13:27,39.0,89.0,0.978,938.0,130688.0,169392.0
22:13:28,49.0,79.0,0.991,959.0,130688.0,171717.0
22:13:29,49.0,79.0,0.994,971.0,130688.0,174272.0
22:13:30,37.0,91.0,1.0,971.0,130688.0,176302.0
22:13:31,41.0,87.0,1.0,987.0,130688.0,178569.0
22:13:32,43.0,85.0,1.0,1002.0,130688.0,180401.0
22:13:34,45.0,83.0,1.0,1018.0,130688.0,182542.0
22:13:35,47.0,81.0,0.999,1034.0,130688.0,184707.0
22:13:36,32.0,96.0,0.976,1034.0,130688.0,186835.0
22:13:37,41.0,87.0,0.998,1049.0,130688.0,188638.0
22:13:38,45.0,83.0,1.0,1065.0,130688.0,190291.0
22:13:39,36.0,92.0,1.0,1069.0,130688.0,191989.0
22:13:40,43.0,85.0,1.0,1084.0,130688.0,193571.0
22:13:41,30.0,98.0,0.999,1088.0,130688.0,195149.0
22:13:42,41.0,87.0,1.0,1103.0,130688.0,196641.0
22:13:43,29.0,99.0,0.997,1104.0,130688.0,198268.0
22:13:44,32.0,96.0,0.997,1117.0,130688.0,199664.0
22:13:45,28.0,100.0,0.999,1117.0,130688.0,201196.0
22:13:46,30.0,98.0,0.999,1123.0,130688.0,202777.0
22:13:47,27.0,101.0,0.998,1123.0,130688.0,204334.0
