time,running,waiting,kv_usage,preemptions,prompt_tokens,gen_tokens
13:38:06,0.0,0.0,0.0,0.0,0.0,0.0
13:38:07,0.0,0.0,0.0,0.0,0.0,0.0
13:38:08,0.0,0.0,0.0,0.0,0.0,0.0
13:38:09,0.0,0.0,0.0,0.0,0.0,0.0
13:38:10,0.0,0.0,0.0,0.0,0.0,0.0
13:38:11,0.0,0.0,0.0,0.0,0.0,0.0
13:38:12,0.0,0.0,0.0,0.0,0.0,0.0
13:38:13,0.0,0.0,0.0,0.0,0.0,0.0
13:38:14,1.0,0.0,0.028,0.0,2041.0,15.0
13:38:15,1.0,0.0,0.029,0.0,2041.0,112.0
13:38:16,1.0,0.0,0.03,0.0,2041.0,209.0
13:38:17,1.0,0.0,0.032,0.0,2041.0,305.0
13:38:18,1.0,0.0,0.033,0.0,2041.0,402.0
13:38:19,1.0,0.0,0.034,0.0,2041.0,498.0
13:38:20,1.0,0.0,0.029,0.0,4082.0,594.0
13:38:21,1.0,0.0,0.03,0.0,4082.0,690.0
13:38:22,1.0,0.0,0.031,0.0,4082.0,787.0
13:38:23,1.0,0.0,0.032,0.0,4082.0,883.0
13:38:24,1.0,0.0,0.034,0.0,4082.0,980.0
13:38:25,1.0,0.0,0.028,0.0,6123.0,1077.0
13:38:26,1.0,0.0,0.029,0.0,6123.0,1175.0
13:38:27,1.0,0.0,0.031,0.0,6123.0,1272.0
13:38:28,1.0,0.0,0.032,0.0,6123.0,1370.0
13:38:29,1.0,0.0,0.033,0.0,6123.0,1467.0
13:38:30,1.0,0.0,0.028,0.0,8164.0,1563.0
13:38:31,1.0,0.0,0.029,0.0,8164.0,1659.0
13:38:32,1.0,0.0,0.03,0.0,8164.0,1756.0
13:38:33,1.0,0.0,0.032,0.0,8164.0,1853.0
13:38:34,1.0,0.0,0.033,0.0,8164.0,1949.0
13:38:35,1.0,0.0,0.034,0.0,8164.0,2046.0
13:38:36,2.0,0.0,0.03,0.0,12246.0,2209.0
13:38:37,2.0,0.0,0.032,0.0,12246.0,2389.0
13:38:38,2.0,0.0,0.035,0.0,12246.0,2569.0
13:38:39,2.0,0.0,0.037,0.0,12246.0,2749.0
13:38:40,2.0,0.0,0.04,0.0,12246.0,2931.0
13:38:41,2.0,0.0,0.028,0.0,16328.0,3109.0
13:38:42,2.0,0.0,0.031,0.0,16328.0,3291.0
13:38:43,2.0,0.0,0.033,0.0,16328.0,3471.0
13:38:44,2.0,0.0,0.035,0.0,16328.0,3649.0
13:38:45,2.0,0.0,0.038,0.0,16328.0,3829.0
13:38:46,2.0,0.0,0.04,0.0,16328.0,4009.0
13:38:47,2.0,0.0,0.029,0.0,20410.0,4187.0
13:38:48,2.0,0.0,0.031,0.0,20410.0,4367.0
13:38:49,2.0,0.0,0.034,0.0,20410.0,4547.0
13:38:50,2.0,0.0,0.036,0.0,20410.0,4727.0
13:38:51,2.0,0.0,0.038,0.0,20410.0,4907.0
13:38:52,2.0,0.0,0.041,0.0,20410.0,5087.0
13:38:53,2.0,0.0,0.03,0.0,24492.0,5265.0
13:38:54,2.0,0.0,0.032,0.0,24492.0,5445.0
13:38:55,2.0,0.0,0.035,0.0,24492.0,5627.0
13:38:56,2.0,0.0,0.037,0.0,24492.0,5807.0
13:38:57,2.0,0.0,0.039,0.0,24492.0,5987.0
13:38:58,4.0,0.0,0.028,0.0,32656.0,6157.0
13:38:59,4.0,0.0,0.033,0.0,32656.0,6513.0
13:39:00,4.0,0.0,0.038,0.0,32656.0,6873.0
13:39:01,4.0,0.0,0.043,0.0,32656.0,7233.0
13:39:02,4.0,0.0,0.048,0.0,32656.0,7589.0
13:39:03,4.0,0.0,0.052,0.0,32656.0,7949.0
13:39:04,4.0,0.0,0.03,0.0,40820.0,8300.0
13:39:05,4.0,0.0,0.034,0.0,40820.0,8656.0
13:39:06,4.0,0.0,0.039,0.0,40820.0,9012.0
13:39:07,4.0,0.0,0.044,0.0,40820.0,9368.0
13:39:08,4.0,0.0,0.049,0.0,40820.0,9724.0
13:39:09,4.0,0.0,0.054,0.0,40820.0,10084.0
13:39:10,4.0,0.0,0.031,0.0,48984.0,10440.0
13:39:11,4.0,0.0,0.036,0.0,48984.0,10796.0
13:39:12,4.0,0.0,0.04,0.0,48984.0,11156.0
13:39:13,4.0,0.0,0.045,0.0,48984.0,11512.0
13:39:14,4.0,0.0,0.049,0.0,48984.0,11868.0
13:39:15,4.0,0.0,0.055,0.0,48984.0,12228.0
13:39:16,4.0,0.0,0.032,0.0,57148.0,12580.0
13:39:17,4.0,0.0,0.037,0.0,57148.0,12936.0
13:39:18,4.0,0.0,0.042,0.0,57148.0,13296.0
13:39:19,4.0,0.0,0.046,0.0,57148.0,13652.0
13:39:20,4.0,0.0,0.051,0.0,57148.0,14008.0
13:39:21,0.0,0.0,0.0,0.0,57148.0,14336.0
13:39:22,8.0,0.0,0.038,0.0,73476.0,15022.0
13:39:23,8.0,0.0,0.048,0.0,73476.0,15726.0
13:39:24,8.0,0.0,0.057,0.0,73476.0,16446.0
13:39:25,8.0,0.0,0.067,0.0,73476.0,17166.0
13:39:26,8.0,0.0,0.077,0.0,73476.0,17878.0
13:39:27,8.0,0.0,0.031,0.0,89804.0,18577.0
13:39:28,8.0,0.0,0.041,0.0,89804.0,19289.0
13:39:29,8.0,0.0,0.049,0.0,89804.0,20009.0
13:39:30,8.0,0.0,0.06,0.0,89804.0,20721.0
13:39:32,8.0,0.0,0.068,0.0,89804.0,21433.0
13:39:33,8.0,0.0,0.078,0.0,89804.0,22137.0
13:39:34,8.0,0.0,0.033,0.0,106132.0,22838.0
13:39:35,8.0,0.0,0.043,0.0,106132.0,23550.0
13:39:36,8.0,0.0,0.052,0.0,106132.0,24254.0
13:39:37,8.0,0.0,0.061,0.0,106132.0,24958.0
13:39:38,8.0,0.0,0.07,0.0,106132.0,25662.0
13:39:39,8.0,0.0,0.08,0.0,106132.0,26358.0
13:39:40,8.0,0.0,0.034,0.0,122460.0,27061.0
13:39:41,8.0,0.0,0.044,0.0,122460.0,27757.0
13:39:42,8.0,0.0,0.053,0.0,122460.0,28469.0
13:39:43,8.0,0.0,0.063,0.0,122460.0,29173.0
13:39:44,8.0,0.0,0.072,0.0,122460.0,29869.0
13:39:45,8.0,0.0,0.082,0.0,122460.0,30573.0
13:39:46,16.0,0.0,0.043,0.0,155116.0,31626.0
13:39:47,16.0,0.0,0.061,0.0,155116.0,33034.0
13:39:48,16.0,0.0,0.079,0.0,155116.0,34426.0
