timestamp,run_id,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026-08-28T21:45:48.695975+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6166,40960,34.97,28
2026-08-28T21:45:48.695975+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.99,27
2026-08-28T21:45:48.695975+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.53,27
2026-08-28T21:45:49.767015+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6166,40960,34.68,28
2026-08-28T21:45:49.767015+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.99,27
2026-08-28T21:45:49.767015+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.63,27
2026-08-28T21:45:50.836457+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6166,40960,34.68,28
2026-08-28T21:45:50.836457+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.89,27
2026-08-28T21:45:50.836457+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.82,27
2026-08-28T21:45:51.934056+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,104.63,30
2026-08-28T21:45:51.934056+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.88,27
2026-08-28T21:45:51.934056+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.62,27
2026-08-28T21:45:53.013684+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,110.54,31
2026-08-28T21:45:53.013684+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,34.17,27
2026-08-28T21:45:53.013684+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.42,27
2026-08-28T21:45:54.081925+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,109.33,31
2026-08-28T21:45:54.081925+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.87,27
2026-08-28T21:45:54.081925+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.72,27
2026-08-28T21:45:55.170215+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,108.60,31
2026-08-28T21:45:55.170215+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.88,27
2026-08-28T21:45:55.170215+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.82,27
2026-08-28T21:45:56.251248+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,109.01,32
2026-08-28T21:45:56.251248+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.88,27
2026-08-28T21:45:56.251248+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:45:57.344183+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,112.68,32
2026-08-28T21:45:57.344183+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:45:57.344183+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:45:58.412063+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,112.68,32
2026-08-28T21:45:58.412063+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.88,27
2026-08-28T21:45:58.412063+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:45:59.490929+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,113.17,33
2026-08-28T21:45:59.490929+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.88,27
2026-08-28T21:45:59.490929+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.53,27
2026-08-28T21:46:00.558389+00:00,20260828T214548Z_heavy_c32_a97cc2,0,[N/A],[N/A],6170,40960,114.28,33
2026-08-28T21:46:00.558389+00:00,20260828T214548Z_heavy_c32_a97cc2,1,[N/A],[N/A],213,40960,33.87,27
2026-08-28T21:46:00.558389+00:00,20260828T214548Z_heavy_c32_a97cc2,2,[N/A],[N/A],213,40960,34.51,27
