timestamp,run_id,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026-08-28T21:54:01.870390+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,34.95,29
2026-08-28T21:54:01.870390+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.89,27
2026-08-28T21:54:01.870390+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T21:54:02.938902+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,34.88,29
2026-08-28T21:54:02.938902+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.90,27
2026-08-28T21:54:02.938902+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.56,27
2026-08-28T21:54:04.014181+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,67.25,29
2026-08-28T21:54:04.014181+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:04.014181+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T21:54:05.106500+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,117.40,32
2026-08-28T21:54:05.106500+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.77,27
2026-08-28T21:54:05.106500+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T21:54:06.175130+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,112.54,32
2026-08-28T21:54:06.175130+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.87,27
2026-08-28T21:54:06.175130+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:54:07.248998+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,114.98,33
2026-08-28T21:54:07.248998+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:07.248998+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.41,27
2026-08-28T21:54:08.316470+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,116.44,33
2026-08-28T21:54:08.316470+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:08.316470+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:54:09.389198+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,121.30,33
2026-08-28T21:54:09.389198+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:09.389198+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T21:54:10.467344+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,122.45,34
2026-08-28T21:54:10.467344+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.96,27
2026-08-28T21:54:10.467344+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T21:54:11.536180+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,126.09,34
2026-08-28T21:54:11.536180+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.87,27
2026-08-28T21:54:11.536180+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:54:12.604288+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,107.72,34
2026-08-28T21:54:12.604288+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:12.604288+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:54:13.699001+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,122.86,34
2026-08-28T21:54:13.699001+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:13.699001+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:54:14.773039+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,126.95,34
2026-08-28T21:54:14.773039+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:14.773039+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.62,27
2026-08-28T21:54:15.851495+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,122.89,35
2026-08-28T21:54:15.851495+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.87,27
2026-08-28T21:54:15.851495+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.51,27
2026-08-28T21:54:16.945711+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,119.63,35
2026-08-28T21:54:16.945711+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:16.945711+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.60,27
2026-08-28T21:54:18.019617+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,100.91,35
2026-08-28T21:54:18.019617+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.87,27
2026-08-28T21:54:18.019617+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.72,27
2026-08-28T21:54:19.104408+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,112.84,35
2026-08-28T21:54:19.104408+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:19.104408+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T21:54:20.190037+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,115.11,35
2026-08-28T21:54:20.190037+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T21:54:20.190037+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.63,27
2026-08-28T21:54:21.257043+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,122.03,36
2026-08-28T21:54:21.257043+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.88,27
2026-08-28T21:54:21.257043+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T21:54:22.351046+00:00,20260828T215401Z_heavy_c64_8f83d5,0,[N/A],[N/A],6170,40960,113.43,36
2026-08-28T21:54:22.351046+00:00,20260828T215401Z_heavy_c64_8f83d5,1,[N/A],[N/A],213,40960,33.94,27
2026-08-28T21:54:22.351046+00:00,20260828T215401Z_heavy_c64_8f83d5,2,[N/A],[N/A],213,40960,34.70,27
