request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,error
0,True,0.0758039578795433,20.59453848656267,2041,1024,3065,server_usage,3412,
1,True,0.13002694118767977,20.632085608318448,2041,1024,3065,server_usage,3368,
2,True,0.07438042759895325,20.592696589417756,2041,1024,3065,server_usage,3412,
3,True,0.07411063089966774,20.591639732010663,2041,1024,3065,server_usage,3412,
4,True,0.12575403973460197,20.62885579932481,2041,1024,3065,server_usage,3368,
5,True,0.07331424113363028,20.591870084404945,2041,1024,3065,server_usage,3412,
6,True,0.12433189433068037,20.629229954443872,2041,1024,3065,server_usage,3368,
7,True,0.12471046578139067,20.629408239386976,2041,1024,3065,server_usage,3368,
8,True,0.12350331339985132,20.623688554391265,2041,1024,3065,server_usage,3368,
9,True,0.123660690151155,20.656171516515315,2041,1024,3065,server_usage,2953,
10,True,0.12238259520381689,20.626945634372532,2041,1024,3065,server_usage,3368,
11,True,0.12232454493641853,20.65547495521605,2041,1024,3065,server_usage,2953,
12,True,0.4235013471916318,20.719233023002744,2041,1024,3065,server_usage,3005,
13,True,0.04796160012483597,20.542039899155498,2041,1024,3065,server_usage,4235,
14,True,0.1203950447961688,20.620830606669188,2041,1024,3065,server_usage,3368,
15,True,0.1193506894633174,20.62193146906793,2041,1024,3065,server_usage,3368,
16,True,0.11828961223363876,20.65234900265932,2041,1024,3065,server_usage,2953,
17,True,0.11840012017637491,20.655134613625705,2041,1024,3065,server_usage,2953,
18,True,0.11816074885427952,20.654192931950092,2041,1024,3065,server_usage,2953,
19,True,0.11667651683092117,20.647118317894638,2041,1024,3065,server_usage,2953,
20,True,0.4182378724217415,20.713273516856134,2041,1024,3065,server_usage,3005,
21,True,0.11477913614362478,20.65265708230436,2041,1024,3065,server_usage,2953,
22,True,0.5142003670334816,20.835986433550715,2041,1024,3065,server_usage,3175,
23,True,0.5141097763553262,20.841283421963453,2041,1024,3065,server_usage,3175,
24,True,0.5135919507592916,20.822107444517314,2041,1024,3065,server_usage,3175,
25,True,0.5122289462015033,20.851984851062298,2041,1024,3065,server_usage,3175,
26,True,0.5146563639864326,20.81632473040372,2041,1024,3065,server_usage,3175,
27,True,0.511647111736238,20.84129884187132,2041,1024,3065,server_usage,3175,
28,True,0.5097056683152914,20.831122539937496,2041,1024,3065,server_usage,3175,
29,True,0.5126249510794878,20.83622727636248,2041,1024,3065,server_usage,3175,
30,True,0.5115232076495886,20.83565625268966,2041,1024,3065,server_usage,3175,
31,True,0.5087771899998188,20.75478833541274,2041,1024,3065,server_usage,3175,
32,True,0.5101080648601055,20.817520783282816,2041,1024,3065,server_usage,3175,
33,True,0.507182409055531,20.831117030233145,2041,1024,3065,server_usage,3175,
34,True,0.512046261690557,20.83494465239346,2041,1024,3065,server_usage,3175,
35,True,0.5089728282764554,20.849596085958183,2041,1024,3065,server_usage,3175,
36,True,0.5077192401513457,20.813532507047057,2041,1024,3065,server_usage,3175,
37,True,0.5100674387067556,20.848135286942124,2041,1024,3065,server_usage,3175,
38,True,0.5087300315499306,20.817935664206743,2041,1024,3065,server_usage,3175,
39,True,0.505510812625289,20.83725636266172,2041,1024,3065,server_usage,3175,
40,True,0.5082615902647376,20.829329364933074,2041,1024,3065,server_usage,3175,
