timestamp,run_id,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026-08-28T22:02:54.772128+00:00,20260828T220254Z_heavy_c112_dfd124,0,[N/A],[N/A],6338,40960,35.27,30
2026-08-28T22:02:54.772128+00:00,20260828T220254Z_heavy_c112_dfd124,1,[N/A],[N/A],213,40960,33.89,27
2026-08-28T22:02:54.772128+00:00,20260828T220254Z_heavy_c112_dfd124,2,[N/A],[N/A],213,40960,34.63,27
2026-08-28T22:02:55.840292+00:00,20260828T220254Z_heavy_c112_dfd124,0,[N/A],[N/A],6338,40960,35.27,30
2026-08-28T22:02:55.840292+00:00,20260828T220254Z_heavy_c112_dfd124,1,[N/A],[N/A],213,40960,33.99,27
2026-08-28T22:02:55.840292+00:00,20260828T220254Z_heavy_c112_dfd124,2,[N/A],[N/A],213,40960,35.03,27
2026-08-28T22:02:56.912045+00:00,20260828T220254Z_heavy_c112_dfd124,0,[N/A],[N/A],6338,40960,67.08,31
2026-08-28T22:02:56.912045+00:00,20260828T220254Z_heavy_c112_dfd124,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T22:02:56.912045+00:00,20260828T220254Z_heavy_c112_dfd124,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T22:02:57.992506+00:00,20260828T220254Z_heavy_c112_dfd124,0,[N/A],[N/A],6714,40960,131.93,34
2026-08-28T22:02:57.992506+00:00,20260828T220254Z_heavy_c112_dfd124,1,[N/A],[N/A],213,40960,33.97,27
2026-08-28T22:02:57.992506+00:00,20260828T220254Z_heavy_c112_dfd124,2,[N/A],[N/A],213,40960,34.61,27
2026-08-28T22:02:59.058749+00:00,20260828T220254Z_heavy_c112_dfd124,0,[N/A],[N/A],6714,40960,134.29,35
2026-08-28T22:02:59.058749+00:00,20260828T220254Z_heavy_c112_dfd124,1,[N/A],[N/A],213,40960,33.95,27
2026-08-28T22:02:59.058749+00:00,20260828T220254Z_heavy_c112_dfd124,2,[N/A],[N/A],213,40960,34.49,27
2026-08-28T22:03:00.122847+00:00,20260828T220254Z_heavy_c112_dfd124,0,[N/A],[N/A],6714,40960,139.04,35
2026-08-28T22:03:00.122847+00:00,20260828T220254Z_heavy_c112_dfd124,1,[N/A],[N/A],213,40960,33.95,27
2026-08-28T22:03:00.122847+00:00,20260828T220254Z_heavy_c112_dfd124,2,[N/A],[N/A],213,40960,34.59,27
2026-08-28T22:03:01.190169+00:00,20260828T220254Z_heavy_c112_dfd124,0,[N/A],[N/A],6714,40960,132.54,36
2026-08-28T22:03:01.190169+00:00,20260828T220254Z_heavy_c112_dfd124,1,[N/A],[N/A],213,40960,33.85,27
2026-08-28T22:03:01.190169+00:00,20260828T220254Z_heavy_c112_dfd124,2,[N/A],[N/A],213,40960,34.70,27
2026-08-28T22:03:02.257141+00:00,20260828T220254Z_heavy_c112_dfd124,0,[N/A],[N/A],6714,40960,109.79,36
