timestamp,run_id,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026-08-12T22:49:21.230463+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,34.88,29
2026-08-12T22:49:21.230463+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.90,27
2026-08-12T22:49:21.230463+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.44,27
2026-08-12T22:49:22.297389+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,35.07,29
2026-08-12T22:49:22.297389+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.99,27
2026-08-12T22:49:22.297389+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.64,27
2026-08-12T22:49:23.368331+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,65.33,29
2026-08-12T22:49:23.368331+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,34.28,27
2026-08-12T22:49:23.368331+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.61,27
2026-08-12T22:49:24.441652+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,103.57,31
2026-08-12T22:49:24.441652+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.88,27
2026-08-12T22:49:24.441652+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.63,27
2026-08-12T22:49:25.511294+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,103.92,32
2026-08-12T22:49:25.511294+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.87,27
2026-08-12T22:49:25.511294+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.61,27
2026-08-12T22:49:26.576621+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,103.86,32
2026-08-12T22:49:26.576621+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.97,27
2026-08-12T22:49:26.576621+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.53,27
2026-08-12T22:49:27.642283+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,105.75,32
2026-08-12T22:49:27.642283+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.97,27
2026-08-12T22:49:27.642283+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.62,27
2026-08-12T22:49:28.709831+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,104.36,32
2026-08-12T22:49:28.709831+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,34.07,27
2026-08-12T22:49:28.709831+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.82,27
2026-08-12T22:49:29.774513+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,104.85,33
2026-08-12T22:49:29.774513+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.88,27
2026-08-12T22:49:29.774513+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.62,27
2026-08-12T22:49:30.852412+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,104.75,33
2026-08-12T22:49:30.852412+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.97,27
2026-08-12T22:49:30.852412+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.72,27
2026-08-12T22:49:31.906615+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,104.56,33
2026-08-12T22:49:31.906615+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.97,27
2026-08-12T22:49:31.906615+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.51,27
2026-08-12T22:49:32.969693+00:00,20260812T224921Z_medium_c1_c6b94e,0,[N/A],[N/A],19483,40960,103.37,33
2026-08-12T22:49:32.969693+00:00,20260812T224921Z_medium_c1_c6b94e,1,[N/A],[N/A],213,40960,33.88,27
2026-08-12T22:49:32.969693+00:00,20260812T224921Z_medium_c1_c6b94e,2,[N/A],[N/A],213,40960,34.63,27
