timestamp,run_id,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026-08-20T23:52:39.970579+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],6170,40960,35.88,32
2026-08-20T23:52:39.970579+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,34.98,31
2026-08-20T23:52:39.970579+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.33,31
2026-08-20T23:52:41.048669+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],6170,40960,35.88,32
2026-08-20T23:52:41.048669+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,34.98,31
2026-08-20T23:52:41.048669+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.42,31
2026-08-20T23:52:42.117664+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],6170,40960,88.10,34
2026-08-20T23:52:42.117664+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,35.06,31
2026-08-20T23:52:42.117664+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.30,31
2026-08-20T23:52:43.190533+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],7134,40960,133.89,36
2026-08-20T23:52:43.190533+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,35.15,31
2026-08-20T23:52:43.190533+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.40,31
2026-08-20T23:52:44.268284+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],7134,40960,136.26,37
2026-08-20T23:52:44.268284+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,34.94,31
2026-08-20T23:52:44.268284+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.38,31
2026-08-20T23:52:45.337887+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],7134,40960,135.78,38
2026-08-20T23:52:45.337887+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,35.03,31
2026-08-20T23:52:45.337887+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.50,31
2026-08-20T23:52:46.415580+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],7134,40960,148.40,38
2026-08-20T23:52:46.415580+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,35.04,31
2026-08-20T23:52:46.415580+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.30,31
2026-08-20T23:52:47.508836+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],7134,40960,128.51,38
2026-08-20T23:52:47.508836+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,35.05,31
2026-08-20T23:52:47.508836+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.50,31
2026-08-20T23:52:48.588608+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],7134,40960,138.54,39
2026-08-20T23:52:48.588608+00:00,20260820T235239Z_context_heavy_c128_d74d52,1,[N/A],[N/A],213,40960,34.94,31
2026-08-20T23:52:48.588608+00:00,20260820T235239Z_context_heavy_c128_d74d52,2,[N/A],[N/A],213,40960,35.29,31
2026-08-20T23:52:49.668181+00:00,20260820T235239Z_context_heavy_c128_d74d52,0,[N/A],[N/A],7134,40960,137.43,39
