timestamp,run_id,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026-08-21T00:05:05.215886+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],7134,40960,35.17,29
2026-08-21T00:05:05.215886+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.19,27
2026-08-21T00:05:05.215886+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.44,28
2026-08-21T00:05:06.282575+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],7134,40960,34.88,29
2026-08-21T00:05:06.282575+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.48,27
2026-08-21T00:05:06.282575+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.53,28
2026-08-21T00:05:07.354042+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],7134,40960,63.24,29
2026-08-21T00:05:07.354042+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.16,27
2026-08-21T00:05:07.354042+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.42,28
2026-08-21T00:05:08.449544+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,154.48,33
2026-08-21T00:05:08.449544+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.15,27
2026-08-21T00:05:08.449544+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.49,28
2026-08-21T00:05:09.544336+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,152.86,33
2026-08-21T00:05:09.544336+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.06,27
2026-08-21T00:05:09.544336+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.51,28
2026-08-21T00:05:10.624354+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,153.55,34
2026-08-21T00:05:10.624354+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.07,27
2026-08-21T00:05:10.624354+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.42,28
2026-08-21T00:05:11.700116+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,136.81,34
2026-08-21T00:05:11.700116+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.15,27
2026-08-21T00:05:11.700116+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.70,28
2026-08-21T00:05:12.771357+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,138.33,35
2026-08-21T00:05:12.771357+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.16,27
2026-08-21T00:05:12.771357+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.42,28
2026-08-21T00:05:13.862157+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,141.96,35
2026-08-21T00:05:13.862157+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.15,27
2026-08-21T00:05:13.862157+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.41,28
2026-08-21T00:05:14.956160+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,137.70,35
2026-08-21T00:05:14.956160+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.07,27
2026-08-21T00:05:14.956160+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.51,28
2026-08-21T00:05:16.039040+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,177.62,36
2026-08-21T00:05:16.039040+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.14,27
2026-08-21T00:05:16.039040+00:00,20260821T000505Z_context_heavy_c512_b460e0,2,[N/A],[N/A],213,40960,34.49,28
2026-08-21T00:05:17.137920+00:00,20260821T000505Z_context_heavy_c512_b460e0,0,[N/A],[N/A],12904,40960,149.83,36
2026-08-21T00:05:17.137920+00:00,20260821T000505Z_context_heavy_c512_b460e0,1,[N/A],[N/A],213,40960,34.15,27
